source,query_or_url,filters,export_or_pull_date,date_basis,row_count,file_path,sha256,duplicate_of,notes
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/2152707_DC_TV_Permit.pdf,60e37219628486e463ae225ff81d63f88f06d6bdc736d7bb209ad83ca336ed2a,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/2152715_DC_Permit.pdf,2c24830ce83836adb5b8114974b8e55e35495fa130cdd1adf96298aae5d9c85a,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/3014202_DC_Permit.pdf,0d976edef6c620d4cbf1540c159b08fec2f32b2064ee91c4cc491a9f95596078,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/41064_DC_Permit.pdf,51d03a34c4603e9d751898072487752f650e55d918bb16c99102ac735ed83dc6,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/51232_DC_Permit.pdf,8b2c922ca89f0e8f7441690a7d5d19f9ea3f3d70208ecf74d3d84cbbbc86d9bc,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/52173_DC_Permit.pdf,375d01fcbf7b6cd3b0e92b602b68181004e7547dbc89f037490fd72caba457a1,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/522219_DC_Permit.pdf,21ce692510018a3645029edb584c846fc391fa0bdf3026c8c007758647191407,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/52281_DC_Permit.pdf,7da3c43369e336af52307057493d17c27df18a05458eb0f932ae14e57f66ae84,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/52299_DC_Permit.pdf,69616a739d1662642e7824c4088fe71aa498338325db7a82d73c3d52102686a7,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/52403_DC_Permit.pdf,002483b1deecb8086d6e0cb9512487470d7d63d0e9f3654b06c78c74ea613840,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/524326_DC_Permit.pdf,63e0dfed23b2c63601b51dc71e1ed37f9ca08cde8da0bb05983c7e98d43671d9,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/52629_DC_Permit.pdf,220ffa0d6d1da03c8865a7a2f7cceb74ed6a69fa5968e72eb2c3328c8f11ab9d,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/52820_DC_Permit.pdf,2c34fa752df20b48c8542da7809aa06382568565c33541200f008ab2c98eae9f,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/52903_DC_Permit.pdf,a22d3676f8fe4eb5ef67b54c39665475262ad5f68458c1235ad4a9a5b0dda163,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/52949_DC_Permit.pdf,45516e802c2f848b5ce5c84fed3f9ba01f71dc80910d0b30aafb67bb5cc0e522,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/52973_DC_Permit.pdf,402ef00610164538a00b2475f4716f8d5708bb4c0cd8c57977da75517195a9e2,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/53071_DC_Permit.pdf,0dbda5439d4c4984c260ce3ae0732c29b4795260bf9216ed8b8c284547a8560e,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/53072_DC_Permit.pdf,82d48c71e32b06bb9c60b9a9f6f612e34da69bda39e9bfc7fcc810611659868a,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/53086_DC_Permit.pdf,5c53d9aef122d9500a1ccf6ceb981052cd68de9d0e8e2213c667802749a22293,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/531972_DC_Permit.pdf,dc0a5afff595e7741ef7f7c0d5f5e241488a8b1e0c99b0c8aac53cee9881f9ce,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/53198_DC_Permit.pdf,d3a58a847e2c7e1c90addf24910372326afa7bbd370237a13a6896d18e749973,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/5325901_DC_Permit.pdf,d05e712d39f0c50fa69756951a1b65ccfe62bc44f814092f25f38abf123a3822,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/5326601_DC_Permit.pdf,9455e4c75ddc0f6daa464ae61cb73cd3f3cd27739d5a6e8829ee543b738d116d,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/60353_DC_Permit.pdf,695986767716dece5a992438d13ed4fd14e42d9a4164e75c9ed62c434f8fb918,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/7180403_DC_Permit.pdf,1139c632d4f27a126bcc2836ed0c29fc82c4797cc14b1832ea78e89c784575db,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/7180404_DC_Permit.pdf,f0cc6bc653b53724e7001714c4ff42e74a61b63648d89deaa7721e2b693feedb,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/72296_DC_Permit.pdf,8e141b4756ffce63ef51ed464f6906cfc210fe23c3c2a008eeb477524671b2c3,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/72367_DC_Permit.pdf,0f9cf73ded1bec1dc8d92098bf22465f72790287ece8f8822089c663c88590d8,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/72368_DC_Permit.pdf,7bd2d3bb4b30963322ea69f087a7c4ce9a3b570fd9fbd560dc8162f8ab15f868,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/72374_DC_Permit.pdf,e661d63724c018fd2afa136e0fff833e410c45837eec7097bd75bbdcf3e87a90,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/723759_DC_Permit.pdf,e20c92bb17f38f0398494556de30f2290f3537ee6138a9e229ab20c9615fd8fc,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/73105_DC_Permit.pdf,e8b3f820ff4dfa42e200d17c4b67fc399587622eb342e61b721dae32f563e469,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/73158_DC_Permit.pdf,d2a150b71847af50126dfae6f0e826bdcbd3a582e6251f76d6a6c2a17b47334d,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/73160_DC_Permit.pdf,077bbfbe51e22b3d6e9d099e6893ff1aaa681e907fb1e3c306e38d8f302dc55f,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/73162_DC_Permit.pdf,b5366f2b4977f45d8d49ef38091f1876f8b8e8fdd296cce8d5aa3f6e621e622b,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/73170_DC_Permit.pdf,ac23eab61937c0cd9ff821a7a0ff67336b602052a6eaa2326cd1f514caa3af51,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/73180_DC_Permit.pdf,b266f0edec0107276dbae54ad519553589b3e3199be12628065edd768ccc4008,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/73199_DC_Permit.pdf,6930efec619cd99d1d3983123b9dc876c8369eb3dd7113ac92d6c5a14d708336,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/7320002_DC_Permit.pdf,bc8a237fa5f8cd7719919dbf1a669f577d98ea12d77d1784db560160af048ac7,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/7320003_DC_Permit.pdf,d05afe53fc41cd8701e6a16629eca4191ac6d2ec92c5d1d251e8280eb435d934,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/73230_DC_Permit.pdf,9d5cc1fcd6b3cbc03c12ac68bae2b6c3493e988d4837e2440b7770a6f722bda0,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/73233_DC_Permit.pdf,4decf9c316af85cf260e7ca3c2d3752f37476665977942e063a87f102d62fbd9,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/73240_DC_Permit.pdf,c75daadf41338652939ada39bfc4aa3a00615ba7d491d5a58ce32ba02471054d,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/73293_DC_Permit.pdf,df72136d9854cc3eb086ed579670bdec16680a89105d4c9aa294ca3d54bb44ef,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/73294_DC_Permit.pdf,d4ab8b501653343657e7aed00019253a304ff3758017bc153a0b1ceeb7a82390,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/73341_DC_Permit.pdf,4e47d71b758e2d5c4392569f345b15fe2048cbe112fe46479ea0a2df5755fbbe,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/73355_DC_Permit.pdf,6463b5342d35940d29c5b3ab68fd2416972221c075abce9b8cca9a89885fc8d4,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/73363_DC_Permit.pdf,2bbc2ce953e3852b0bc59b20e4568f2935e40d7cd50886998a56f1fe185725ba,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/733693_DC_Permit.pdf,fc750ed261188f6f614322ab7749e9ef1e194402281bd374f4d0fb83d5a1a220,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/7337012_DC_Permit.pdf,446d2a4e4d4bf2279a90aafb1a45f9188dab5240f08440f75013f83e479cb924,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/7337015_DC_Permit.pdf,c6c0c116db3192d19be5cb541a35d532b1daa7e95a7c4edd0980fc0d8dfa713e,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/7337016_DC_Permit.pdf,3b5b0e1b44362b3e207bd3c54f93ee832d107ae4f0d435d02011172fa0e488db,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/73567_DC_Permit.pdf,db8c03315cf646c214db3fc75d7b78c5597477be7043be211c49289260507020,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/7364301_DC_Permit.pdf,9a383d60bf5cf6fee1a6679d9ac8c72915bdebd7779c4b440209854c1d4a25f1,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/7364303_DC_Permit.pdf,70ad6f6231aeacbd464ebf1b0f1e72da00079efb6851f9e361db78c4d6fd960c,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/7364304_DC_Permit.pdf,55fb6d59cc63e5d70364e4dc9b9026c4d180d0f9a0036a31a769115d1d4ee0c3,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/7364305_DC_Permit.pdf,1a0fdd61bbfc4e08688d869cc74f9ec20979a5ee637ea92cc99d4be9c74c0741,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/7367012_DC_Permit.pdf,914ade84bf86bc88239ffbe70fa75f774a89f9bfedaea1ca8ee5ef942671270a,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/7367014_DC_Permit.pdf,c633ad0de26cc792eedc76e3296e0dfe2d6d5f2d6a828ed53577430f8d690430,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/73683_DC_Permit.pdf,1a7d77d4029626c019e1011a504c47501f0efe1ddae51319c20300e6a3f04ae2,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/7371701_DC_Permit.pdf,8f3ff5b6b97b2a838338d1c9cd41cfa357ca2fbb34b930fc004e5037f1a64dcd,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/7371703_DC_Permit.pdf,a06fbb39d925fb4fafa35f2cae80e3e9a49091f01c4d01b361e7a1c5ff745146,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/7374123_DC_Permit.pdf,6f0e399232c6af95cc0b130d2ed4d2ca555694e6c50242da854733b95effa2d4,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/73743_DC_Permit.pdf,1d2dcf0a0baf62de2d64a4e812fe5399a8dca5b6ab5bba488199f58586ac665a,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/73757_DC_Permit.pdf,d37bbe0d39ee949f152971fce7dc854d74e1e743638f39f2295a7446a1a1b68e,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/73798_DC_Permit.pdf,a9e58c500567159d548aaf2ccb4f8de0a3d488d0a36a7734154a78b108342daf,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/73809_DC_Permit.pdf,eb8749c3b4aded3c6cdf818ba57e141d2f034d0005c6bbf1555e503adf3b2b9b,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/73813_DC_Permit.pdf,955c84736975aaffece9440919584a85d62b777979d6d4be85cdf716c1be1901,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/73823_DC_Permit.pdf,53ce474c5952464973c70ade64e89280d015df6d613527c6f451f8034fc52f1d,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/73853_DC_Permit.pdf,9826fd6823584c21d395eebd28400ffabc1225de71c9ca817ccb9ecaa73474bd,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/73860_DC_Permit.pdf,a6a743c14382cf11c8f4cb61d327c027f0dcea5a49a3b252a004ba8e4e5b5cf5,,Local PDF preserves permit text but not its download URL.
Virginia DEQ issued data center air permits,Published DEQ permit PDF; original URL unavailable in local delivery,Virginia data-center permit collection,2026-09-19,local_file_modified_date; unverified as pull date,,data/raw/deq_va/73868_DC_Permit.pdf,b45a346933fdeef163e9cdc83734283482c2e10625e0a72e0cae6dd04d7dc482,,Local PDF preserves permit text but not its download URL.
